order_id,customer_name,city,product,category,quantity,price,order_date,customer_age,total_amount
1,Zara,Multan,Headphones,Accessories,2,2550,2025-01-21,30,5100
2,Faisal,Lahore,Monitor,Electronics,1,18571,2025-02-22,30,18571
3,Sara,Multan,Monitor,Electronics,1,21754,2025-03-01,27,21754
4,Hina,Lahore,Monitor,Electronics,1,18092,2025-02-11,24,18092
5,Usman,Multan,Monitor,Electronics,1,20369,2025-02-20,27,20369
6,Sara,Multan,Laptop,Electronics,2,84656,2025-01-09,47,169312
7,Mariam,Lahore,Mouse,Accessories,1,1610,2025-03-12,41,1610
8,Usman,Karachi,Laptop,Electronics,1,77587,2025-01-02,34,77587
9,Hina,Karachi,Mouse,Accessories,1,1540,2025-01-18,33,1540
10,Faisal,Karachi,Monitor,Electronics,1,18180,2025-03-21,39,18180
11,Sara,Islamabad,Headphones,Accessories,2,3760,2025-03-01,22,7520
12,Ali,Lahore,Laptop,Electronics,1,82722,2025-03-29,33,82722
13,Usman,Lahore,Keyboard,Accessories,1,3290,2025-02-10,24,3290
14,Zara,Islamabad,Headphones,Accessories,1,4188,2025-02-04,31,4188
15,Ali,Islamabad,Headphones,Accessories,2,4915,2025-01-05,43,9830
16,Zara,Islamabad,Laptop,Electronics,1,82106,2025-03-18,34,82106
17,Usman,Islamabad,Laptop,Electronics,1,78143,2025-01-23,38,78143
18,Ayesha,Lahore,Keyboard,Accessories,2,3194,2025-02-11,50,6388
19,Kamran,Lahore,Monitor,Electronics,1,21214,2025-01-30,29,21214
20,Zara,Multan,Laptop,Electronics,1,78180,2025-01-27,38,78180
21,Kamran,Multan,Headphones,Accessories,1,4582,2025-03-13,21,4582
22,Ali,Islamabad,Mouse,Accessories,2,1402,2025-02-01,55,2804
23,Faisal,Lahore,Monitor,Electronics,3,19454,2025-02-21,38,58362
24,Usman,Lahore,Headphones,Accessories,1,2854,2025-01-02,23,2854
25,Sara,Multan,Headphones,Accessories,1,3035,2025-01-02,19,3035
26,Hina,Multan,Monitor,Electronics,1,18323,2025-01-17,43,18323
27,Hina,Multan,Headphones,Accessories,1,3896,2025-01-11,36,3896
28,Kamran,Multan,Keyboard,Accessories,1,2686,2025-01-20,36,2686
29,Ayesha,Islamabad,Mouse,Accessories,1,1507,2025-03-12,36,1507
30,Zara,Karachi,Laptop,Electronics,1,81756,2025-02-19,24,81756
31,Zara,Islamabad,Mouse,Accessories,1,1354,2025-03-31,32,1354
32,Ali,Karachi,Laptop,Electronics,2,75931,2025-02-06,35,151862
33,Zara,Lahore,Laptop,Electronics,1,78492,2025-01-03,29,78492
34,Ali,Multan,Monitor,Electronics,1,18336,2025-02-07,40,18336
35,Faisal,Multan,Keyboard,Accessories,2,2872,2025-01-25,46,5744
36,Kamran,Multan,Laptop,Electronics,1,75180,2025-02-17,35,75180
37,Ayesha,Multan,Keyboard,Accessories,1,3157,2025-03-17,50,3157
38,Hina,Karachi,Headphones,Accessories,2,3460,2025-01-27,33,6920
39,Sara,Lahore,Laptop,Electronics,1,80769,2025-03-10,31,80769
40,Ayesha,Islamabad,Laptop,Electronics,3,75436,2025-01-30,19,226308
41,Bilal,Karachi,Keyboard,Accessories,2,3247,2025-02-15,28,6494
42,Bilal,Multan,Laptop,Electronics,1,78169,2025-01-25,38,78169
43,Mariam,Islamabad,Mouse,Accessories,1,1758,2025-02-01,22,1758
44,Mariam,Karachi,Mouse,Accessories,1,1644,2025-02-12,43,1644
45,Hina,Multan,Headphones,Accessories,1,2889,2025-02-19,36,2889
46,Ayesha,Lahore,Monitor,Electronics,1,21546,2025-03-07,60,21546
47,Zara,Islamabad,Keyboard,Accessories,1,2965,2025-01-22,28,2965
48,Ayesha,Karachi,Keyboard,Accessories,1,2627,2025-02-22,32,2627
49,Bilal,Islamabad,Monitor,Electronics,1,21368,2025-02-16,25,21368
50,Sara,Multan,Mouse,Accessories,2,1393,2025-03-04,35,2786
51,Usman,Multan,Mouse,Accessories,1,1247,2025-03-03,36,1247
52,Bilal,Lahore,Mouse,Accessories,1,1749,2025-02-17,38,1749
53,Kamran,Multan,Headphones,Accessories,2,2839,2025-03-05,48,5678
54,Zara,Islamabad,Monitor,Electronics,1,20264,2025-03-27,40,20264
55,Kamran,Lahore,Monitor,Electronics,1,18184,2025-03-03,30,18184
56,Mariam,Karachi,Headphones,Accessories,1,3420,2025-01-23,46,3420
57,Mariam,Karachi,Headphones,Accessories,1,4660,2025-01-10,32,4660
58,Ali,Multan,Headphones,Accessories,1,4051,2025-03-21,50,4051
59,Zara,Karachi,Laptop,Electronics,1,83671,2025-03-25,19,83671
60,Ali,Lahore,Headphones,Accessories,2,3636,2025-03-08,42,7272
61,Ali,Lahore,Laptop,Electronics,1,250000,2025-02-14,34,250000
62,Sara,Karachi,Mouse,Accessories,15,1500,2025-03-05,29,22500
