OrderID,CustomerName,City,Region,Product,Category,Quantity,Price,OrderDate,TotalAmount
1,Bilal,Karachi,Sindh,Monitor,Electronics,1,21912,2025-05-23,21912
2,Faisal,Lahore,Punjab,Mouse,Accessories,1,1243,2025-06-17,1243
3,Zara,Faisalabad,Punjab,Laptop,Electronics,1,83037,2025-03-17,83037
4,Faisal,Islamabad,Federal,Monitor,Electronics,1,20776,2025-02-26,20776
5,Kamran,Lahore,Punjab,Monitor,Electronics,2,19019,2025-02-08,38038
6,Bilal,Karachi,Sindh,Monitor,Electronics,1,19538,2025-01-02,19538
7,Ali,Lahore,Punjab,Printer,Electronics,2,21137,2025-01-24,42274
8,Nida,Karachi,Sindh,Monitor,Electronics,2,19786,2025-04-03,39572
9,Faisal,Lahore,Punjab,Printer,Electronics,1,15835,2025-05-04,15835
10,Omar,Karachi,Sindh,Monitor,Electronics,1,21683,2025-05-04,21683
11,Mariam,Karachi,Sindh,Printer,Electronics,1,18433,2025-03-25,18433
12,Usman,Islamabad,Federal,Printer,Electronics,1,21569,2025-02-17,21569
13,Ali,Faisalabad,Punjab,Printer,Electronics,2,19395,2025-03-09,38790
14,Bilal,Faisalabad,Punjab,Monitor,Electronics,1,19235,2025-02-24,19235
15,Omar,Islamabad,Federal,Monitor,Electronics,1,21354,2025-01-30,21354
16,Kamran,Faisalabad,Punjab,Monitor,Electronics,1,19374,2025-04-11,19374
17,Bilal,Karachi,Sindh,Mouse,Accessories,1,1354,2025-01-13,1354
18,Zara,Lahore,Punjab,Keyboard,Accessories,2,3278,2025-04-04,6556
19,Zara,Islamabad,Federal,Mouse,Accessories,1,1342,2025-03-18,1342
20,Mariam,Lahore,Punjab,Headphones,Accessories,1,2527,2025-03-29,2527
21,Hina,Faisalabad,Punjab,Monitor,Electronics,1,20563,2025-05-01,20563
22,Sara,Multan,Punjab,Headphones,Accessories,2,4184,2025-05-02,8368
23,Bilal,Islamabad,Federal,Mouse,Accessories,2,1327,2025-03-24,2654
24,Ali,Multan,Punjab,Printer,Electronics,1,17304,2025-06-11,17304
25,Kamran,Faisalabad,Punjab,Monitor,Electronics,1,19673,2025-04-07,19673
26,Usman,Lahore,Punjab,Keyboard,Accessories,3,3296,2025-06-21,9888
27,Sara,Lahore,Punjab,Laptop,Electronics,1,84091,2025-03-24,84091
28,Ali,Islamabad,Federal,Keyboard,Accessories,2,3164,2025-06-06,6328
29,Kamran,Karachi,Sindh,Headphones,Accessories,1,3388,2025-02-24,3388
30,Nida,Faisalabad,Punjab,Mouse,Accessories,1,1416,2025-06-26,1416
31,Ali,Faisalabad,Punjab,Mouse,Accessories,1,1396,2025-05-08,1396
32,Omar,Lahore,Punjab,Mouse,Accessories,1,1379,2025-02-06,1379
33,Hina,Faisalabad,Punjab,Monitor,Electronics,1,18286,2025-06-30,18286
34,Ali,Faisalabad,Punjab,Keyboard,Accessories,2,2687,2025-05-07,5374
35,Ayesha,Karachi,Sindh,Printer,Electronics,1,19503,2025-06-10,19503
36,Sara,Multan,Punjab,Monitor,Electronics,1,19443,2025-03-03,19443
37,Omar,Faisalabad,Punjab,Laptop,Electronics,1,81890,2025-05-05,81890
38,Omar,Karachi,Sindh,Laptop,Electronics,3,84585,2025-05-31,253755
39,Kamran,Islamabad,Federal,Headphones,Accessories,1,3108,2025-02-13,3108
40,Sara,Islamabad,Federal,Laptop,Electronics,2,80018,2025-01-19,160036
41,Hina,Lahore,Punjab,Keyboard,Accessories,1,2742,2025-04-13,2742
42,Usman,Faisalabad,Punjab,Laptop,Electronics,1,78869,2025-01-17,78869
43,Hina,Lahore,Punjab,Printer,Electronics,1,17626,2025-05-11,17626
44,Hina,Karachi,Sindh,Mouse,Accessories,1,1312,2025-04-10,1312
45,Hina,Faisalabad,Punjab,Laptop,Electronics,1,79495,2025-01-12,79495
46,Omar,Faisalabad,Punjab,Laptop,Electronics,2,81849,2025-02-23,163698
47,Faisal,Multan,Punjab,Printer,Electronics,1,23272,2025-02-03,23272
48,Kamran,Faisalabad,Punjab,Keyboard,Accessories,3,3068,2025-04-14,9204
49,Ali,Lahore,Punjab,Printer,Electronics,1,23354,2025-05-05,23354
50,Ali,Islamabad,Federal,Mouse,Accessories,1,1734,2025-04-02,1734
51,Ayesha,Multan,Punjab,Keyboard,Accessories,1,2827,2025-03-04,2827
52,Bilal,Karachi,Sindh,Laptop,Electronics,1,80982,2025-03-08,80982
53,Zara,Faisalabad,Punjab,Monitor,Electronics,1,19511,2025-06-23,19511
54,Zara,Karachi,Sindh,Mouse,Accessories,2,1396,2025-04-09,2792
55,Bilal,Multan,Punjab,Monitor,Electronics,1,19691,2025-01-15,19691
56,Bilal,Multan,Punjab,Keyboard,Accessories,1,2721,2025-03-29,2721
